helper,sepal_length,sepal_width,petal_length,petal_width,species
0.6092029,5.1,3.7,1.5,0.4,Iris-setosa
0.469181323,6.6,2.9,4.6,1.3,Iris-versicolor
0.576958729,6.1,2.6,5.6,1.4,Iris-virginica
0.480754121,5.5,2.4,3.8,1.1,Iris-versicolor
0.453745741,5,3.5,1.6,0.6,Iris-setosa
0.754245902,6.3,2.3,4.4,1.3,Iris-versicolor
0.504743067,6.7,3,5.2,2.3,Iris-virginica
0.899164313,7.2,3.2,6,1.8,Iris-virginica
0.268216557,4.9,2.4,3.3,1,Iris-versicolor
0.866859191,7.4,2.8,6.1,1.9,Iris-virginica
0.042278907,6.7,3.3,5.7,2.5,Iris-virginica
0.952088895,5.1,3.5,1.4,0.3,Iris-setosa
0.082369429,4.6,3.6,1,0.2,Iris-setosa
0.090801089,5.8,2.7,3.9,1.2,Iris-versicolor
0.863425321,5.4,3,4.5,1.5,Iris-versicolor
0.774654123,6.7,2.5,5.8,1.8,Iris-virginica
0.227650172,6.8,2.8,4.8,1.4,Iris-versicolor
0.496198651,6,2.2,4,1,Iris-versicolor
0.119919976,6.5,3,5.2,2,Iris-virginica
0.378893958,5.6,2.8,4.9,2,Iris-virginica
0.442606638,4.6,3.4,1.4,0.3,Iris-setosa
0.517125604,6.1,3,4.6,1.4,Iris-versicolor
0.359705044,6.5,3.2,5.1,2,Iris-virginica
0.768644362,5.7,3.8,1.7,0.3,Iris-setosa
0.122857906,5.5,2.3,4,1.3,Iris-versicolor
0.6727868,7.2,3.6,6.1,2.5,Iris-virginica
0.998228088,7.7,3,6.1,2.3,Iris-virginica
0.080364688,7.7,2.8,6.7,2,Iris-virginica
0.71126257,5.7,2.5,5,2,Iris-virginica
0.116088309,6.7,3.1,4.7,1.5,Iris-versicolor
0.373179383,6.4,2.7,5.3,1.9,Iris-virginica
0.756891739,6.5,3,5.8,2.2,Iris-virginica
0.715506015,4.9,3,1.4,0.2,Iris-setosa
0.552088022,6.3,2.5,4.9,1.5,Iris-versicolor
0.946676005,4.6,3.2,1.4,0.2,Iris-setosa
0.031750431,5,3.4,1.5,0.2,Iris-setosa
